הגרלה,תאריך,1,2,3,4,5,6,המספר החזק/נוסף,מספר_זוכים_לוטו,מספר_זוכים_דאבל_לוטו,
3770,11/01/2025,02,21,25,32,34,35,6,0,0,
3769,07/01/2025,04,05,20,23,33,35,5,0,0,
3768,04/01/2025,06,17,21,22,28,33,5,0,0,
3767,31/12/2024,01,04,12,15,32,33,4,0,0,
3766,28/12/2024,06,13,15,24,30,34,7,0,0,
3765,26/12/2024,03,07,10,12,15,36,7,0,0,
3764,24/12/2024,14,18,22,26,29,35,5,0,0,
3763,21/12/2024,09,21,26,27,31,34,5,0,0,
3762,17/12/2024,02,03,06,10,27,32,2,0,0,
3761,14/12/2024,10,24,28,31,36,37,6,0,0,
3760,10/12/2024,04,05,11,20,27,32,7,0,0,
3759,07/12/2024,11,15,16,22,24,37,1,0,0,
3758,03/12/2024,02,07,09,19,20,35,7,0,0,
3757,30/11/2024,03,07,10,13,25,33,6,0,0,
3756,26/11/2024,03,07,24,28,30,34,1,0,0,
3755,23/11/2024,04,16,17,24,33,35,5,0,0,
3754,21/11/2024,01,06,16,23,26,27,2,0,0,
3753,19/11/2024,12,14,18,21,22,29,4,0,0,
3752,16/11/2024,04,05,09,10,21,26,2,0,0,
3751,12/11/2024,01,03,09,12,29,36,3,0,0,
3750,09/11/2024,03,07,09,11,23,34,4,1,0,
3749,05/11/2024,01,11,27,32,35,36,3,0,0,
3748,02/11/2024,05,06,13,25,28,36,7,1,0,
3747,31/10/2024,14,21,23,26,28,30,5,0,0,
3746,29/10/2024,03,15,21,23,27,30,1,0,0,
3745,26/10/2024,19,21,29,30,34,35,2,0,0,
3744,22/10/2024,11,21,23,24,27,37,5,0,0,
3743,19/10/2024,01,09,15,18,35,37,6,0,0,
3742,15/10/2024,06,10,12,20,28,35,5,0,0,
3741,13/10/2024,06,07,11,24,27,35,3,1,0,
3740,08/10/2024,02,03,07,08,09,25,3,0,0,
3739,06/10/2024,06,15,19,25,28,29,7,0,0,
3738,01/10/2024,03,09,11,17,19,23,6,0,0,
3737,28/09/2024,20,21,22,31,33,37,4,0,0,
3736,26/09/2024,07,09,10,16,21,36,2,0,0,
3735,24/09/2024,05,17,23,26,33,37,1,0,0,
3734,21/09/2024,05,11,14,15,23,35,3,0,0,
3733,17/09/2024,08,24,26,28,29,35,5,0,0,
3732,14/09/2024,08,20,24,30,32,34,2,0,0,
3731,12/09/2024,09,12,18,24,30,34,4,0,0,
3730,10/09/2024,06,12,17,18,27,36,6,0,1,
3729,07/09/2024,01,03,05,21,25,30,7,1,0,
3728,03/09/2024,01,03,08,23,26,34,5,0,0,
3727,31/08/2024,01,03,11,25,30,33,7,0,0,
3726,27/08/2024,04,08,18,23,35,36,3,0,0,
3725,24/08/2024,15,24,26,28,30,36,2,0,0,
3724,22/08/2024,02,06,11,15,23,33,5,0,0,
3723,20/08/2024,11,13,18,23,24,30,4,0,0,
3722,17/08/2024,09,22,23,24,25,29,3,0,0,
3721,13/08/2024,02,12,13,19,21,34,7,0,0,
3720,10/08/2024,07,08,19,27,30,35,5,0,0,
3719,06/08/2024,04,14,22,27,30,33,6,1,0,
3718,03/08/2024,02,12,16,17,26,32,6,0,0,
3717,30/07/2024,06,16,20,21,22,34,5,0,0,
3716,27/07/2024,13,16,18,19,29,37,7,0,0,
3715,25/07/2024,04,22,26,27,32,36,5,0,0,
3714,23/07/2024,04,07,10,21,27,28,6,0,0,
3713,20/07/2024,03,06,19,24,29,37,1,0,0,
3712,16/07/2024,12,19,30,32,34,35,5,0,0,
3711,13/07/2024,07,10,17,29,33,35,3,0,0,
3710,11/07/2024,04,10,19,20,25,28,3,0,0,
3709,09/07/2024,06,11,12,19,34,36,2,0,0,
3708,06/07/2024,02,11,14,26,27,30,5,0,0,
3707,02/07/2024,01,03,20,26,29,34,1,0,0,
3706,29/06/2024,01,07,12,14,22,26,1,1,0,
3705,25/06/2024,11,16,24,25,35,36,6,0,0,
3704,22/06/2024,10,12,14,27,28,31,7,1,0,
3703,20/06/2024,02,10,23,28,29,37,2,1,0,
3702,18/06/2024,07,09,25,30,34,36,7,0,0,
3701,15/06/2024,13,18,26,27,31,35,2,0,0,
3700,13/06/2024,03,07,10,11,30,35,1,0,0,
3699,08/06/2024,05,09,27,29,32,36,4,0,0,
3698,04/06/2024,01,02,22,31,34,37,2,0,0,
